GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netex-java-model,uk.org.siri.siri,CapabilitiesResponseStructure,54,0,0,0,21,0,12,0,12,0
netex-java-model,uk.org.siri.siri,CheckStatusResponseBodyStructure.ErrorCondition,43,0,0,0,17,0,11,0,11,0
netex-java-model,uk.org.siri.siri,ProducerRequestEndpointStructure,82,0,0,0,33,0,20,0,20,0
netex-java-model,uk.org.siri.siri,ContextualisedRequestStructure,115,0,0,0,47,0,29,0,29,0
netex-java-model,uk.org.siri.siri,NoInfoForTopicErrorStructure,17,0,0,0,6,0,4,0,4,0
netex-java-model,uk.org.siri.siri,DataSupplyRequestStructure,71,0,0,0,28,0,16,0,16,0
netex-java-model,uk.org.siri.siri,TerminationResponseStatusStructure.ErrorCondition,67,0,0,0,27,0,17,0,17,0
netex-java-model,uk.org.siri.siri,UnknownSubscriberErrorStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,CheckStatusResponseStructure,126,0,0,0,51,0,30,0,30,0
netex-java-model,uk.org.siri.siri,SiriSchema,240,0,2,0,99,0,60,0,59,0
netex-java-model,uk.org.siri.siri,BoundingBoxStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,EndpointNotAvailableAccessStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,AbstractRequestStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,AbstractRequiredIdentifiedItemStructure,24,0,0,0,9,0,6,0,6,0
netex-java-model,uk.org.siri.siri,DataReadyResponseStructure.ErrorCondition,43,0,0,0,17,0,11,0,11,0
netex-java-model,uk.org.siri.siri,ServiceCapabilitiesRequestStructure,58,0,2,0,23,0,14,0,13,0
netex-java-model,uk.org.siri.siri,TerminationResponseStatusStructure,91,0,0,0,37,0,23,0,23,0
netex-java-model,uk.org.siri.siri,SubscriptionContextStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,SubscriptionRequestStructure,107,0,8,0,34,0,20,0,16,0
netex-java-model,uk.org.siri.siri,ServiceDeliveryStructure,135,0,8,0,46,0,28,0,24,0
netex-java-model,uk.org.siri.siri,CapabilityRefStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,AbstractIdentifiedItemStructure,24,0,0,0,9,0,6,0,6,0
netex-java-model,uk.org.siri.siri,ResponseStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,AbstractCapabilitiesStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,CapabilityGeneralInteractionStructure.Interaction,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,SubscriptionResponseBodyStructure,76,0,8,0,22,0,15,0,11,0
netex-java-model,uk.org.siri.siri,TerminateSubscriptionRequestStructure,163,0,8,0,58,0,36,0,32,0
netex-java-model,uk.org.siri.siri,TerminateSubscriptionResponseStructure,82,0,8,0,24,0,15,0,11,0
netex-java-model,uk.org.siri.siri,MessageQualifierStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,ServiceNotAvailableErrorStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,NaturalLanguageStringStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,DataReceivedResponseStructure,56,0,0,0,22,0,13,0,13,0
netex-java-model,uk.org.siri.siri,AbstractReferencingItemStructure,24,0,0,0,9,0,6,0,6,0
netex-java-model,uk.org.siri.siri,ExtensionsStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,UnknownExtensionsErrorStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,uk.org.siri.siri,DeliveryMethodEnumeration,31,34,4,0,5,6,4,2,2,2
netex-java-model,uk.org.siri.siri,DataReadyRequestStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,uk.org.siri.siri,SubscriptionFilterStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,TerminateSubscriptionRequestBodyStructure,76,0,8,0,22,0,15,0,11,0
netex-java-model,uk.org.siri.siri,ServiceRequestStructure,52,0,0,0,20,0,11,0,11,0
netex-java-model,uk.org.siri.siri,AbstractServiceDeliveryStructure,144,0,0,0,59,0,36,0,36,0
netex-java-model,uk.org.siri.siri,ServiceDelivery,96,0,6,0,31,0,18,0,15,0
netex-java-model,uk.org.siri.siri,AbstractRequiredReferencingItemStructure,24,0,0,0,9,0,6,0,6,0
netex-java-model,uk.org.siri.siri,DataNameSpacesStructure,67,0,0,0,27,0,17,0,17,0
netex-java-model,uk.org.siri.siri,BeyondDataHorizonErrorStructure,17,0,0,0,6,0,4,0,4,0
netex-java-model,uk.org.siri.siri,SubscriptionTerminatedNotificationStructure,111,0,8,0,36,0,22,0,18,0
netex-java-model,uk.org.siri.siri,AbstractServiceCapabilitiesResponseStructure,72,0,0,0,29,0,18,0,18,0
netex-java-model,uk.org.siri.siri,CheckStatusResponseBodyStructure,79,0,0,0,32,0,20,0,20,0
netex-java-model,uk.org.siri.siri,NaturalLanguagePlaceNameStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,ConsumerRequestEndpointStructure,82,0,0,0,33,0,20,0,20,0
netex-java-model,uk.org.siri.siri,AbstractSubscriptionRequestStructure,83,0,0,0,33,0,19,0,19,0
netex-java-model,uk.org.siri.siri,AuthenticatedRequestStructure,36,0,0,0,14,0,9,0,9,0
netex-java-model,uk.org.siri.siri,ProducerResponseStructure,84,0,0,0,34,0,21,0,21,0
netex-java-model,uk.org.siri.siri,TransportDescriptionStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,AllowedResourceUsageExceededErrorStructure,17,0,0,0,6,0,4,0,4,0
netex-java-model,uk.org.siri.siri,LineShapeStructure,52,0,8,0,12,0,9,0,5,0
netex-java-model,uk.org.siri.siri,AbstractSubscriptionStructure,43,0,0,0,17,0,11,0,11,0
netex-java-model,uk.org.siri.siri,CapabilityNotSupportedErrorStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,ConsumerResponseEndpointStructure,60,0,0,0,24,0,15,0,15,0
netex-java-model,uk.org.siri.siri,ErrorCodeStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,UnknownSubscriptionErrorStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,SubscriptionFilterRefStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,AbstractNotificationStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,uk.org.siri.siri,CommunicationsTransportMethodEnumeration,31,78,4,0,5,10,4,2,2,2
netex-java-model,uk.org.siri.siri,AbstractDiscoveryDeliveryStructure,60,0,0,0,24,0,15,0,15,0
netex-java-model,uk.org.siri.siri,MessageRefStructure,12,0,0,0,4,0,3,0,3,0
netex-java-model,uk.org.siri.siri,ServiceDeliveryBodyStructure,100,0,8,0,32,0,21,0,17,0
netex-java-model,uk.org.siri.siri,CoordinatesStructure,52,0,8,0,12,0,9,0,5,0
netex-java-model,uk.org.siri.siri,AbstractItemStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,ResponseEndpointStructure,72,0,0,0,29,0,18,0,18,0
netex-java-model,uk.org.siri.siri,InvalidDataReferencesErrorStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,uk.org.siri.siri,ErrorConditionElementStructure,211,0,0,0,87,0,53,0,53,0
netex-java-model,uk.org.siri.siri,HeartbeatNotificationStructure,131,0,0,0,53,0,31,0,31,0
netex-java-model,uk.org.siri.siri,ObjectFactory,1158,0,0,0,205,0,148,0,148,0
netex-java-model,uk.org.siri.siri,ParametersIgnoredErrorStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,uk.org.siri.siri,AccessNotAllowedErrorStructure,17,0,0,0,6,0,4,0,4,0
netex-java-model,uk.org.siri.siri,UnknownEndpointErrorStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,ProducerResponseEndpointStructure,60,0,0,0,24,0,15,0,15,0
netex-java-model,uk.org.siri.siri,ServiceRequestContextStructure,271,0,0,0,112,0,68,0,68,0
netex-java-model,uk.org.siri.siri,UnknownParticipantErrorStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,LocationStructure,79,0,0,0,32,0,20,0,20,0
netex-java-model,uk.org.siri.siri,AbstractFunctionalServiceRequestStructure,17,0,0,0,6,0,4,0,4,0
netex-java-model,uk.org.siri.siri,SubscriptionRequest,96,0,6,0,31,0,18,0,15,0
netex-java-model,uk.org.siri.siri,ParticipantRefStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,CapabilityGeneralInteractionStructure.Delivery,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,EndpointDeniedAccessStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,AbstractServiceRequestStructure,24,0,0,0,9,0,6,0,6,0
netex-java-model,uk.org.siri.siri,CapabilityRequestPolicyStructure,88,0,8,0,27,0,18,0,14,0
netex-java-model,uk.org.siri.siri,ErrorConditionStructure,139,0,0,0,57,0,35,0,35,0
netex-java-model,uk.org.siri.siri,RequestStructure,82,0,0,0,33,0,20,0,20,0
netex-java-model,uk.org.siri.siri,SubscriptionResponseStructure,118,0,8,0,39,0,24,0,20,0
netex-java-model,uk.org.siri.siri,PredictorsEnumeration,31,34,4,0,5,6,4,2,2,2
netex-java-model,uk.org.siri.siri,CheckStatusRequestStructure,76,0,2,0,30,0,17,0,16,0
netex-java-model,uk.org.siri.siri,AbstractDiscoveryRequestStructure,58,0,0,0,23,0,14,0,14,0
netex-java-model,uk.org.siri.siri,StatusResponseStructure,108,0,0,0,44,0,27,0,27,0
netex-java-model,uk.org.siri.siri,OtherErrorStructure,17,0,0,0,6,0,4,0,4,0
netex-java-model,uk.org.siri.siri,ItemRefStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,ErrorDescriptionStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,ServiceRequest,97,0,8,0,30,0,18,0,14,0
netex-java-model,uk.org.siri.siri,CapabilitiesRequestStructure,76,0,2,0,30,0,17,0,16,0
netex-java-model,uk.org.siri.siri,ServiceDeliveryBodyStructure.ErrorCondition,43,0,0,0,17,0,11,0,11,0
netex-java-model,uk.org.siri.siri,CapabilityGeneralInteractionStructure,91,0,0,0,37,0,23,0,23,0
netex-java-model,uk.org.siri.siri,UnapprovedKeyAccessStructure,29,0,0,0,11,0,7,0,7,0
netex-java-model,uk.org.siri.siri,DataReceivedResponseStructure.ErrorCondition,43,0,0,0,17,0,11,0,11,0
netex-java-model,uk.org.siri.siri,CompressionMethodEnumeration,31,45,4,0,5,7,4,2,2,2
netex-java-model,uk.org.siri.siri,DataReadyResponseStructure,56,0,0,0,22,0,13,0,13,0
netex-java-model,uk.org.siri.siri,DataSupplyRequestBodyStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,uk.org.siri.siri,ServiceDeliveryErrorConditionStructure,199,0,0,0,82,0,50,0,50,0
netex-java-model,uk.org.siri.siri,SubscriptionQualifierStructure,19,0,0,0,7,0,5,0,5,0
netex-java-model,uk.org.siri.siri,CapabilitySubscriptionPolicyStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,org.rutebanken.util,LocalTimeISO8601XmlAdapter,8,31,2,0,3,7,2,3,1,3
netex-java-model,org.rutebanken.util,LocalDateXmlAdapter,2,39,1,1,1,11,1,4,0,4
netex-java-model,org.rutebanken.util,LocalDateTimeISO8601XmlAdapter,0,39,0,2,0,10,0,5,0,4
netex-java-model,org.rutebanken.netex.model,TopographicPlace_DerivedViewStructure,77,0,0,0,31,0,19,0,19,0
netex-java-model,org.rutebanken.netex.model,UsageParameterPriceRefs_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,VehiclePositionAlignmentRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,TypeOfSecurityList,161,0,6,0,57,0,31,0,28,0
netex-java-model,org.rutebanken.netex.model,ScheduledStopPoint_DerivedViewStructure,197,0,0,0,81,0,49,0,49,0
netex-java-model,org.rutebanken.netex.model,NoticeAssignmentViews_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,ServiceExclusion,161,0,6,0,57,0,31,0,28,0
netex-java-model,org.rutebanken.netex.model,RetailDevices_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,OperatorActivitiesEnumeration,31,56,4,0,5,8,4,2,2,2
